applicant_id,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
457,<0,11,critical/other existing credit,new car,2,none,none,2,good
458,<0,12,existing paid,used car,3,none,none,1,bad
459,<0,6,existing paid,domestic appliance,4,none,none,1,good
460,no checking,18,existing paid,radio/tv,3,none,none,1,good
461,<0,36,existing paid,furniture/equipment,1,guarantor,none,1,good
462,<0,15,existing paid,new car,2,none,none,1,good
463,0<=X<200,12,existing paid,furniture/equipment,3,none,none,1,good
464,0<=X<200,12,existing paid,retraining,4,none,none,2,good
465,no checking,18,existing paid,business,4,none,stores,2,good
466,<0,24,existing paid,used car,3,guarantor,bank,1,good
467,<0,24,delayed previously,radio/tv,4,none,none,1,bad
468,no checking,48,delayed previously,radio/tv,3,none,bank,2,good
469,no checking,33,delayed previously,business,2,none,none,2,good
470,no checking,24,delayed previously,used car,3,none,none,2,good
471,0<=X<200,24,existing paid,radio/tv,3,none,none,1,bad
472,<0,6,existing paid,education,4,none,none,1,bad
473,<0,9,existing paid,new car,4,none,none,1,bad
474,no checking,6,existing paid,retraining,4,none,none,1,good
475,0<=X<200,18,critical/other existing credit,radio/tv,4,none,none,1,bad
476,<0,18,no credits/all paid,furniture/equipment,1,none,none,1,bad
477,no checking,39,existing paid,used car,4,none,none,1,good
478,>=200,24,existing paid,radio/tv,4,none,bank,1,good
479,0<=X<200,12,existing paid,business,3,none,none,1,good
480,<0,15,critical/other existing credit,furniture/equipment,4,none,none,2,good
481,0<=X<200,12,critical/other existing credit,radio/tv,1,none,none,1,good
482,0<=X<200,24,existing paid,new car,4,none,none,1,good
483,<0,30,existing paid,furniture/equipment,4,none,none,2,good
484,no checking,15,delayed previously,furniture/equipment,3,none,none,2,good
485,no checking,12,critical/other existing credit,new car,4,none,none,1,good
486,0<=X<200,6,delayed previously,new car,4,none,none,1,bad
487,no checking,12,existing paid,radio/tv,2,none,none,1,good
488,no checking,24,existing paid,new car,4,co applicant,none,1,good
489,no checking,10,existing paid,new car,3,none,none,1,good
490,no checking,6,existing paid,new car,2,guarantor,none,1,good
491,no checking,12,critical/other existing credit,radio/tv,2,none,none,2,good
492,0<=X<200,27,no credits/all paid,business,2,none,none,2,bad
493,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
494,0<=X<200,6,existing paid,radio/tv,4,none,none,1,good
495,<0,12,critical/other existing credit,new car,3,none,none,2,good
496,<0,24,existing paid,furniture/equipment,2,none,none,1,bad
497,0<=X<200,36,existing paid,furniture/equipment,4,co applicant,none,1,bad
498,no checking,24,critical/other existing credit,furniture/equipment,4,none,none,2,good
499,0<=X<200,18,existing paid,radio/tv,4,guarantor,none,1,good
500,>=200,6,critical/other existing credit,new car,2,none,none,2,good
501,<0,24,existing paid,new car,4,none,none,1,bad
502,<0,36,existing paid,used car,2,none,none,1,good
503,>=200,9,existing paid,radio/tv,2,none,none,1,good
504,0<=X<200,24,critical/other existing credit,radio/tv,4,none,bank,2,bad
505,<0,24,existing paid,new car,4,none,none,1,bad
506,no checking,10,existing paid,new car,4,guarantor,none,1,bad
507,>=200,15,critical/other existing credit,used car,2,none,none,1,good
508,0<=X<200,15,all paid,new car,1,none,none,1,bad
509,no checking,24,existing paid,radio/tv,4,none,none,1,good
510,no checking,39,existing paid,used car,4,none,none,1,good
511,<0,12,existing paid,new car,4,none,none,1,bad
512,no checking,36,existing paid,used car,2,none,none,1,good
513,>=200,15,existing paid,business,2,none,none,1,good
514,0<=X<200,12,delayed previously,radio/tv,4,co applicant,none,2,good
515,no checking,24,existing paid,new car,4,none,none,1,good
516,<0,6,critical/other existing credit,new car,4,none,none,2,good
517,<0,6,critical/other existing credit,new car,2,none,none,1,good
518,no checking,36,critical/other existing credit,furniture/equipment,2,none,none,2,bad
519,<0,6,existing paid,new car,3,none,none,1,good
520,no checking,6,critical/other existing credit,radio/tv,4,none,none,2,good
521,no checking,24,critical/other existing credit,repairs,3,none,none,2,good
522,<0,18,existing paid,radio/tv,2,none,none,1,bad
523,<0,48,no credits/all paid,furniture/equipment,3,none,none,2,bad
524,no checking,24,existing paid,used car,3,none,none,1,good
525,0<=X<200,18,existing paid,radio/tv,4,guarantor,none,1,good
526,0<=X<200,26,existing paid,used car,2,none,none,2,good
527,no checking,15,critical/other existing credit,education,4,none,none,1,good
528,no checking,4,critical/other existing credit,radio/tv,2,none,none,2,good
529,<0,36,existing paid,radio/tv,4,none,none,1,bad
530,<0,6,existing paid,new car,3,none,none,1,good
531,0<=X<200,36,existing paid,education,3,none,none,2,good
532,0<=X<200,15,existing paid,new car,2,none,none,2,bad
533,no checking,12,delayed previously,used car,4,none,none,1,good
534,no checking,24,existing paid,radio/tv,4,none,none,1,good
535,no checking,24,existing paid,radio/tv,4,none,none,2,good
536,>=200,21,critical/other existing credit,education,2,none,none,1,bad
537,<0,6,existing paid,new car,4,none,none,1,good
538,0<=X<200,18,critical/other existing credit,furniture/equipment,3,none,none,1,good
539,<0,48,existing paid,new car,4,none,bank,1,bad
540,>=200,18,existing paid,furniture/equipment,1,none,stores,1,good
541,0<=X<200,12,existing paid,radio/tv,1,none,none,1,bad
542,no checking,24,delayed previously,new car,4,none,none,2,good
543,<0,30,existing paid,furniture/equipment,4,none,none,1,bad
544,>=200,18,existing paid,furniture/equipment,2,none,none,1,bad
545,no checking,12,critical/other existing credit,new car,4,none,none,2,good
546,<0,24,delayed previously,new car,4,none,none,2,bad
547,no checking,24,critical/other existing credit,new car,4,none,none,1,good
548,no checking,24,existing paid,radio/tv,3,none,bank,1,good
549,<0,12,all paid,radio/tv,4,none,bank,1,bad
550,no checking,48,critical/other existing credit,used car,2,none,none,2,good
551,no checking,12,critical/other existing credit,repairs,4,none,none,2,good
552,no checking,6,all paid,radio/tv,2,none,bank,1,good
553,<0,48,existing paid,radio/tv,1,guarantor,none,2,bad
554,0<=X<200,12,critical/other existing credit,new car,4,none,none,1,good
555,0<=X<200,9,existing paid,education,4,none,none,2,good
556,0<=X<200,12,existing paid,radio/tv,2,none,stores,1,bad
557,0<=X<200,18,no credits/all paid,new car,3,none,none,2,bad
558,no checking,21,no credits/all paid,new car,1,none,bank,2,bad
559,<0,24,all paid,furniture/equipment,3,none,bank,1,bad
560,0<=X<200,18,critical/other existing credit,furniture/equipment,2,none,none,2,bad
561,<0,24,existing paid,used car,4,none,bank,1,good
562,<0,24,all paid,radio/tv,4,guarantor,bank,1,bad
563,>=200,6,delayed previously,radio/tv,2,none,bank,1,good
564,0<=X<200,36,existing paid,new car,1,none,none,1,bad
565,0<=X<200,24,delayed previously,business,4,none,bank,2,good
566,0<=X<200,24,delayed previously,radio/tv,3,none,none,2,good
567,<0,12,existing paid,new car,2,none,none,1,bad
568,no checking,24,critical/other existing credit,radio/tv,2,none,none,1,good
569,0<=X<200,48,existing paid,radio/tv,4,none,none,2,good
570,<0,48,existing paid,radio/tv,3,none,none,1,bad
571,<0,24,existing paid,furniture/equipment,4,none,none,1,bad
572,no checking,30,critical/other existing credit,radio/tv,3,co applicant,none,1,good
573,no checking,24,existing paid,used car,2,none,none,1,good
574,<0,15,existing paid,business,4,none,none,1,good
575,0<=X<200,9,existing paid,radio/tv,4,none,none,2,good
576,no checking,15,critical/other existing credit,furniture/equipment,2,co applicant,bank,2,good
577,0<=X<200,12,existing paid,radio/tv,2,none,none,1,good
578,no checking,24,critical/other existing credit,education,3,none,none,2,good
579,0<=X<200,36,critical/other existing credit,new car,4,none,none,2,bad
580,no checking,24,existing paid,retraining,4,none,none,2,good
581,0<=X<200,18,critical/other existing credit,new car,3,guarantor,bank,2,bad
582,0<=X<200,12,critical/other existing credit,new car,1,none,bank,2,good
583,no checking,9,existing paid,furniture/equipment,4,none,none,1,good
584,0<=X<200,36,existing paid,repairs,4,none,none,1,bad
585,no checking,12,existing paid,new car,4,none,none,1,good
586,<0,18,existing paid,furniture/equipment,1,none,bank,1,bad
587,<0,9,critical/other existing credit,new car,2,none,none,2,good
588,<0,12,existing paid,furniture/equipment,4,guarantor,none,1,good
589,<0,18,existing paid,domestic appliance,4,none,none,1,bad
590,<0,12,critical/other existing credit,furniture/equipment,3,none,none,2,bad
591,<0,12,critical/other existing credit,radio/tv,4,none,none,4,good
592,0<=X<200,24,delayed previously,new car,4,none,none,2,good
593,no checking,21,existing paid,business,4,none,bank,1,good
594,0<=X<200,24,existing paid,new car,3,none,none,1,bad
595,<0,24,all paid,other,4,none,stores,1,bad
596,0<=X<200,6,all paid,new car,1,none,stores,1,bad
597,<0,24,existing paid,new car,4,none,none,2,bad
598,0<=X<200,24,no credits/all paid,business,1,none,none,3,bad
599,no checking,18,critical/other existing credit,new car,2,none,bank,2,bad
600,no checking,24,delayed previously,business,1,none,none,1,good
601,0<=X<200,7,existing paid,radio/tv,1,guarantor,none,1,good
602,0<=X<200,9,existing paid,furniture/equipment,4,none,none,1,bad
603,0<=X<200,24,all paid,education,4,none,bank,1,bad
604,no checking,36,existing paid,furniture/equipment,4,none,none,1,bad
605,>=200,10,existing paid,furniture/equipment,4,none,none,1,good
606,<0,24,all paid,furniture/equipment,4,none,stores,1,good
607,no checking,24,critical/other existing credit,business,3,none,none,1,good
608,0<=X<200,36,existing paid,radio/tv,4,co applicant,none,1,bad
609,no checking,18,existing paid,radio/tv,4,none,none,1,good
610,no checking,15,existing paid,used car,4,none,bank,1,good
611,<0,12,existing paid,domestic appliance,4,none,none,1,bad
612,>=200,10,existing paid,new car,1,none,none,1,bad
613,<0,21,existing paid,radio/tv,4,none,bank,1,good
614,<0,24,all paid,used car,1,guarantor,bank,1,good
615,no checking,18,delayed previously,furniture/equipment,4,none,none,1,bad
616,0<=X<200,48,no credits/all paid,business,2,none,bank,1,good
617,0<=X<200,60,delayed previously,radio/tv,2,none,none,1,good
618,<0,6,critical/other existing credit,new car,1,none,none,3,good
619,0<=X<200,30,existing paid,furniture/equipment,2,co applicant,none,1,bad
620,no checking,12,existing paid,new car,4,none,none,1,good
621,0<=X<200,21,critical/other existing credit,business,2,none,none,2,good
622,no checking,18,critical/other existing credit,new car,3,none,bank,2,bad
623,no checking,48,existing paid,business,4,none,bank,1,bad
624,<0,12,existing paid,furniture/equipment,4,none,none,1,good
625,<0,18,existing paid,radio/tv,4,none,none,2,bad
626,no checking,15,existing paid,radio/tv,4,none,none,1,good
627,>=200,6,existing paid,furniture/equipment,2,none,none,1,good
628,0<=X<200,9,all paid,new car,2,none,none,1,bad
629,no checking,42,critical/other existing credit,furniture/equipment,4,none,none,2,good
630,no checking,9,existing paid,education,1,none,none,1,good
631,<0,24,existing paid,radio/tv,2,none,none,1,good
632,<0,18,all paid,furniture/equipment,4,none,bank,1,bad
633,0<=X<200,15,existing paid,radio/tv,4,none,none,1,good
634,no checking,9,existing paid,furniture/equipment,2,co applicant,none,2,bad
635,0<=X<200,24,existing paid,new car,3,none,none,1,bad
636,no checking,12,existing paid,education,4,none,bank,3,good
637,no checking,24,existing paid,radio/tv,4,none,none,1,good
638,no checking,60,delayed previously,radio/tv,2,none,none,2,good
639,no checking,12,existing paid,radio/tv,4,none,none,1,good
640,<0,42,delayed previously,radio/tv,3,none,bank,2,bad
641,<0,18,existing paid,education,4,none,none,1,bad
642,0<=X<200,15,existing paid,repairs,4,none,none,2,good
643,no checking,15,existing paid,education,3,none,none,1,bad
644,no checking,24,critical/other existing credit,radio/tv,4,guarantor,none,2,good
645,<0,18,critical/other existing credit,radio/tv,4,none,none,2,good
646,no checking,36,delayed previously,business,4,none,none,2,bad
647,<0,30,no credits/all paid,furniture/equipment,2,guarantor,none,2,good
648,no checking,12,existing paid,new car,2,none,none,1,bad
649,>=200,24,existing paid,new car,4,none,bank,1,bad
650,<0,12,existing paid,education,4,none,none,1,bad
651,<0,48,existing paid,education,4,none,none,1,good
652,0<=X<200,12,existing paid,furniture/equipment,4,none,none,1,bad
653,<0,24,existing paid,new car,4,co applicant,none,1,bad
654,0<=X<200,36,delayed previously,new car,2,none,none,4,bad
655,no checking,24,critical/other existing credit,used car,4,none,none,2,good
656,<0,14,existing paid,new car,1,none,none,1,good
657,0<=X<200,12,existing paid,new car,4,none,bank,1,bad
658,no checking,48,existing paid,radio/tv,4,none,stores,1,good
659,0<=X<200,30,no credits/all paid,business,2,none,none,2,good
660,0<=X<200,18,critical/other existing credit,furniture/equipment,2,none,none,1,good
661,>=200,12,existing paid,radio/tv,3,none,none,1,good
662,<0,12,existing paid,new car,4,none,none,1,bad
663,no checking,21,existing paid,furniture/equipment,4,none,none,2,good
664,0<=X<200,6,delayed previously,furniture/equipment,4,none,stores,2,good
665,>=200,6,critical/other existing credit,education,2,none,none,1,good
666,no checking,24,critical/other existing credit,other,4,co applicant,bank,2,good
667,0<=X<200,30,all paid,furniture/equipment,4,none,stores,1,good
668,no checking,48,all paid,business,1,none,stores,1,good
669,<0,12,critical/other existing credit,new car,3,co applicant,none,2,bad
670,>=200,30,critical/other existing credit,radio/tv,4,none,none,1,good
671,no checking,24,critical/other existing credit,business,3,none,none,2,good
672,no checking,36,existing paid,business,2,none,none,2,good
673,no checking,60,existing paid,new car,2,none,none,1,good
674,no checking,6,critical/other existing credit,new car,1,none,none,1,good
675,no checking,21,delayed previously,business,4,none,bank,1,bad
676,no checking,30,critical/other existing credit,radio/tv,4,none,none,1,good
677,no checking,24,critical/other existing credit,furniture/equipment,4,none,none,1,good
678,0<=X<200,72,existing paid,radio/tv,2,none,none,1,bad
679,<0,24,existing paid,radio/tv,4,none,bank,1,good
680,no checking,18,existing paid,radio/tv,3,none,none,1,good
681,no checking,6,existing paid,education,1,none,none,1,good
682,no checking,12,existing paid,radio/tv,4,none,none,1,good
683,no checking,15,delayed previously,radio/tv,4,none,bank,2,good
684,no checking,24,critical/other existing credit,radio/tv,3,none,none,3,good
685,0<=X<200,36,delayed previously,business,1,none,none,2,good
686,no checking,60,existing paid,new car,4,none,none,1,good
687,>=200,10,critical/other existing credit,radio/tv,4,none,none,2,good
688,0<=X<200,36,delayed previously,new car,4,none,none,1,good
689,no checking,9,existing paid,radio/tv,3,co applicant,none,1,good
690,<0,12,existing paid,new car,1,none,none,1,good
691,<0,15,critical/other existing credit,furniture/equipment,2,none,none,2,good
692,0<=X<200,15,existing paid,repairs,3,none,none,1,good
693,0<=X<200,24,existing paid,radio/tv,2,none,none,1,good
694,<0,6,critical/other existing credit,new car,1,none,none,2,good
695,no checking,24,existing paid,radio/tv,4,none,none,1,good
696,no checking,6,existing paid,used car,2,none,none,1,good
697,0<=X<200,12,existing paid,radio/tv,4,guarantor,none,2,good
698,no checking,12,critical/other existing credit,new car,1,none,none,1,good
699,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
700,>=200,15,existing paid,education,4,none,none,1,good
701,no checking,12,existing paid,furniture/equipment,4,none,none,1,bad
702,<0,48,critical/other existing credit,used car,4,none,none,2,bad
703,>=200,24,existing paid,radio/tv,4,none,none,1,good
704,0<=X<200,30,delayed previously,business,4,none,stores,2,good
705,0<=X<200,27,existing paid,business,4,none,none,1,good
706,no checking,15,existing paid,new car,1,none,none,1,good
707,0<=X<200,48,existing paid,new car,3,none,none,1,bad
708,0<=X<200,12,no credits/all paid,furniture/equipment,4,none,none,2,bad
709,0<=X<200,9,existing paid,radio/tv,4,none,none,1,good
710,0<=X<200,9,existing paid,radio/tv,2,none,none,1,good
711,no checking,18,critical/other existing credit,radio/tv,4,none,bank,2,good
712,<0,6,all paid,education,4,none,none,1,bad
713,no checking,21,existing paid,used car,4,none,none,1,good
714,<0,9,critical/other existing credit,radio/tv,4,none,none,2,good
715,0<=X<200,60,existing paid,new car,4,none,none,1,bad
716,no checking,30,critical/other existing credit,used car,1,none,none,2,good
717,no checking,30,critical/other existing credit,radio/tv,3,none,none,2,good
718,no checking,18,existing paid,radio/tv,4,none,none,1,good
719,>=200,24,critical/other existing credit,radio/tv,3,none,none,2,good
720,0<=X<200,20,no credits/all paid,used car,3,none,bank,2,good
721,>=200,9,no credits/all paid,radio/tv,4,none,none,2,bad
722,0<=X<200,6,all paid,education,4,none,bank,1,bad
723,<0,12,existing paid,new car,4,none,none,1,bad
724,0<=X<200,9,existing paid,radio/tv,4,none,none,1,good
725,no checking,27,existing paid,new car,3,none,none,1,bad
726,no checking,6,critical/other existing credit,new car,2,none,bank,2,good
727,no checking,15,critical/other existing credit,radio/tv,2,none,none,2,good
728,<0,18,existing paid,radio/tv,4,none,bank,2,bad
729,0<=X<200,48,all paid,business,4,none,none,1,bad
730,>=200,24,critical/other existing credit,business,2,none,none,2,good
731,0<=X<200,24,delayed previously,radio/tv,1,none,none,1,good
732,<0,24,existing paid,radio/tv,2,none,none,1,bad
733,0<=X<200,8,existing paid,radio/tv,4,guarantor,none,1,good
734,no checking,24,existing paid,used car,2,none,none,1,good
735,no checking,4,critical/other existing credit,new car,1,none,none,1,good
736,0<=X<200,36,all paid,domestic appliance,3,none,bank,1,good
737,0<=X<200,24,existing paid,used car,1,none,none,2,bad
738,<0,18,existing paid,new car,3,none,none,1,good
739,no checking,6,critical/other existing credit,new car,1,none,none,2,good
740,0<=X<200,30,no credits/all paid,business,4,none,none,2,bad
741,<0,24,all paid,new car,2,none,bank,1,good
742,0<=X<200,10,all paid,radio/tv,4,none,stores,1,good
743,no checking,21,existing paid,radio/tv,4,none,none,1,good
744,<0,24,all paid,furniture/equipment,4,none,stores,1,good
745,<0,39,critical/other existing credit,furniture/equipment,4,none,none,2,good
746,<0,13,critical/other existing credit,business,3,none,bank,2,good
747,<0,15,existing paid,new car,1,none,none,1,good
748,<0,12,existing paid,new car,3,none,none,1,bad
749,no checking,21,existing paid,used car,1,none,none,1,good
750,no checking,15,existing paid,used car,2,none,none,1,good
751,<0,6,existing paid,furniture/equipment,2,none,bank,1,good
752,<0,18,existing paid,new car,1,none,none,1,bad
753,0<=X<200,12,existing paid,business,2,none,none,1,good
754,no checking,30,critical/other existing credit,radio/tv,4,none,none,2,good
755,no checking,12,delayed previously,repairs,4,none,none,2,bad
756,<0,24,existing paid,new car,4,none,none,1,bad
757,>=200,6,critical/other existing credit,new car,1,none,none,3,good
758,>=200,15,critical/other existing credit,radio/tv,3,none,none,2,bad
759,no checking,24,existing paid,new car,2,guarantor,none,1,good
760,<0,12,critical/other existing credit,new car,4,none,none,2,bad
761,no checking,15,critical/other existing credit,new car,1,none,none,1,good
762,<0,18,critical/other existing credit,furniture/equipment,4,none,none,2,bad
763,<0,12,existing paid,radio/tv,4,none,none,1,good
764,no checking,21,critical/other existing credit,new car,4,none,none,1,bad
765,no checking,24,critical/other existing credit,new car,4,none,none,2,good
766,0<=X<200,12,existing paid,radio/tv,3,guarantor,bank,2,good
767,<0,30,existing paid,furniture/equipment,2,none,none,1,bad
768,no checking,10,existing paid,used car,1,none,none,1,good
769,0<=X<200,12,critical/other existing credit,furniture/equipment,1,none,none,3,good
770,no checking,12,critical/other existing credit,radio/tv,2,none,none,2,good
771,<0,24,existing paid,used car,2,none,none,1,good
772,<0,36,critical/other existing credit,education,3,none,none,2,bad
773,no checking,21,critical/other existing credit,used car,1,none,none,1,good
774,no checking,24,critical/other existing credit,radio/tv,4,none,bank,2,good
775,>=200,12,critical/other existing credit,new car,2,none,bank,3,good
776,<0,24,existing paid,new car,4,none,none,1,bad
777,no checking,36,critical/other existing credit,new car,4,none,none,2,good
778,<0,18,existing paid,radio/tv,4,guarantor,none,1,good
779,no checking,36,critical/other existing credit,used car,4,none,none,2,good
780,0<=X<200,18,existing paid,repairs,2,none,none,1,good
781,0<=X<200,39,critical/other existing credit,radio/tv,2,guarantor,none,2,bad
782,no checking,24,critical/other existing credit,new car,4,none,none,1,good
783,0<=X<200,12,no credits/all paid,retraining,2,none,none,1,good
784,0<=X<200,12,existing paid,new car,4,none,bank,1,bad
785,0<=X<200,20,existing paid,used car,1,none,none,1,good
786,0<=X<200,18,existing paid,business,4,none,none,1,good
787,no checking,22,existing paid,radio/tv,3,none,none,1,good
788,no checking,48,critical/other existing credit,used car,4,none,none,2,good
789,0<=X<200,48,delayed previously,education,4,none,none,1,bad
790,<0,40,critical/other existing credit,education,4,none,bank,1,bad
791,0<=X<200,21,existing paid,business,2,none,none,1,bad
792,no checking,24,existing paid,used car,3,none,none,1,good
793,no checking,6,critical/other existing credit,furniture/equipment,1,none,none,2,good
794,>=200,24,existing paid,furniture/equipment,3,none,none,1,good
795,no checking,24,existing paid,furniture/equipment,4,none,none,1,good
796,no checking,9,existing paid,furniture/equipment,2,none,none,1,good
797,<0,18,existing paid,used car,1,none,none,1,bad
798,no checking,12,critical/other existing credit,furniture/equipment,2,none,none,2,good
799,no checking,24,delayed previously,new car,4,none,none,2,good
800,0<=X<200,9,existing paid,new car,4,none,none,1,good
801,no checking,24,critical/other existing credit,education,4,none,none,2,good
802,0<=X<200,18,critical/other existing credit,radio/tv,3,guarantor,bank,2,good
803,<0,20,critical/other existing credit,furniture/equipment,1,none,none,2,good
804,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
805,0<=X<200,12,existing paid,new car,1,none,none,1,good
806,<0,36,existing paid,new car,2,none,none,1,bad
807,0<=X<200,6,existing paid,radio/tv,3,none,none,1,good
808,no checking,12,critical/other existing credit,radio/tv,4,none,none,4,good
809,0<=X<200,42,all paid,used car,1,none,bank,1,good
810,0<=X<200,15,no credits/all paid,new car,2,none,none,2,bad
811,0<=X<200,8,existing paid,business,3,none,none,1,good
812,0<=X<200,6,existing paid,radio/tv,3,guarantor,bank,1,good
813,<0,36,critical/other existing credit,used car,4,none,none,2,bad
814,<0,48,existing paid,domestic appliance,3,none,none,1,bad
815,<0,48,existing paid,new car,4,none,none,1,bad
816,0<=X<200,36,delayed previously,new car,2,none,none,1,good
817,no checking,6,existing paid,domestic appliance,1,none,none,1,good
818,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
819,<0,36,existing paid,other,2,co applicant,none,1,good
820,<0,18,existing paid,radio/tv,4,none,bank,1,bad
821,no checking,12,existing paid,new car,3,none,none,2,good
822,>=200,12,existing paid,radio/tv,3,none,none,1,good
823,<0,36,existing paid,furniture/equipment,2,none,bank,1,bad
824,<0,8,critical/other existing credit,new car,4,none,none,2,good
825,no checking,18,critical/other existing credit,furniture/equipment,3,none,none,2,good
826,<0,21,critical/other existing credit,new car,4,none,none,2,good
827,<0,18,critical/other existing credit,new car,1,none,bank,3,bad
828,no checking,18,no credits/all paid,business,2,none,stores,2,bad
829,<0,36,existing paid,used car,3,none,none,1,bad
830,0<=X<200,48,delayed previously,business,4,none,none,1,good
831,no checking,24,delayed previously,business,4,none,none,2,good
832,<0,18,existing paid,new car,4,none,none,1,bad
833,<0,45,no credits/all paid,business,2,none,none,2,bad
834,0<=X<200,24,existing paid,radio/tv,2,none,none,1,good
835,>=200,15,existing paid,radio/tv,2,none,none,1,bad
836,<0,12,no credits/all paid,new car,4,none,bank,2,bad
837,no checking,12,existing paid,radio/tv,4,none,none,1,good
838,no checking,4,existing paid,furniture/equipment,1,none,none,1,good
839,<0,24,critical/other existing credit,used car,4,none,none,2,good
840,no checking,24,critical/other existing credit,radio/tv,4,co applicant,none,2,good
841,<0,36,existing paid,furniture/equipment,4,none,none,1,bad
842,no checking,21,delayed previously,used car,3,none,stores,2,good
843,no checking,18,existing paid,repairs,4,none,none,1,bad
844,no checking,24,all paid,business,4,none,bank,1,good
845,no checking,18,existing paid,furniture/equipment,4,none,bank,3,good
846,0<=X<200,21,existing paid,furniture/equipment,2,none,none,1,good
847,no checking,18,existing paid,new car,2,none,none,2,bad
848,no checking,24,existing paid,new car,4,none,none,1,good
849,<0,9,existing paid,radio/tv,3,none,none,1,good
850,<0,12,existing paid,radio/tv,4,none,stores,1,bad
851,<0,20,critical/other existing credit,new car,4,guarantor,bank,2,bad
852,no checking,24,critical/other existing credit,used car,3,none,none,2,good
853,no checking,15,critical/other existing credit,radio/tv,4,none,none,2,good
854,<0,18,all paid,new car,4,none,none,2,bad
855,no checking,36,delayed previously,new car,2,none,none,2,good
856,no checking,24,existing paid,new car,4,none,none,1,good
857,no checking,10,existing paid,retraining,4,none,none,1,good
858,no checking,15,critical/other existing credit,furniture/equipment,4,none,none,1,good
859,<0,15,existing paid,new car,3,none,none,1,bad
860,no checking,9,existing paid,new car,1,guarantor,none,1,good
861,no checking,24,critical/other existing credit,used car,4,none,none,2,good
862,no checking,18,delayed previously,business,4,none,none,1,bad
863,<0,24,existing paid,radio/tv,4,none,none,1,bad
864,no checking,27,critical/other existing credit,furniture/equipment,4,none,stores,2,good
865,no checking,10,existing paid,furniture/equipment,2,none,bank,1,bad
866,no checking,15,existing paid,furniture/equipment,2,none,none,1,good
867,<0,18,existing paid,radio/tv,4,none,stores,1,good
868,no checking,12,critical/other existing credit,furniture/equipment,2,none,stores,1,good
869,no checking,36,existing paid,business,3,none,none,2,good
870,<0,12,existing paid,furniture/equipment,4,none,none,1,good
871,no checking,36,delayed previously,furniture/equipment,2,none,none,2,good
872,>=200,6,critical/other existing credit,new car,1,none,none,2,good
873,<0,24,critical/other existing credit,business,4,none,none,2,good
874,no checking,15,existing paid,domestic appliance,4,none,none,1,good
875,<0,12,existing paid,furniture/equipment,2,co applicant,none,1,good
876,0<=X<200,11,critical/other existing credit,new car,4,none,none,2,good
877,<0,18,all paid,radio/tv,3,co applicant,bank,1,good
878,no checking,36,existing paid,radio/tv,4,none,none,1,good
879,<0,9,existing paid,new car,3,none,none,1,bad
880,no checking,30,critical/other existing credit,radio/tv,2,none,none,2,good
881,no checking,24,existing paid,used car,3,none,none,1,good
882,no checking,24,existing paid,used car,2,none,none,1,good
883,0<=X<200,30,critical/other existing credit,new car,4,none,none,2,good
884,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
885,0<=X<200,24,existing paid,furniture/equipment,3,none,none,1,bad
886,<0,12,existing paid,education,4,none,none,1,bad
887,0<=X<200,24,critical/other existing credit,business,4,none,none,2,good
888,0<=X<200,48,existing paid,business,2,none,none,1,bad
889,no checking,36,critical/other existing credit,new car,4,none,none,2,good
890,no checking,28,all paid,used car,3,guarantor,bank,2,good
891,<0,27,critical/other existing credit,business,4,none,stores,4,good
892,no checking,15,critical/other existing credit,radio/tv,4,none,none,2,good
893,<0,12,critical/other existing credit,new car,4,none,bank,2,good
894,0<=X<200,36,critical/other existing credit,used car,3,none,none,2,good
895,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
896,no checking,36,delayed previously,used car,3,none,stores,1,good
897,<0,21,existing paid,radio/tv,4,none,none,1,good
898,no checking,12,critical/other existing credit,furniture/equipment,3,none,none,1,good
899,no checking,15,existing paid,furniture/equipment,1,none,bank,1,good
900,<0,18,existing paid,furniture/equipment,2,co applicant,none,1,bad
901,<0,16,critical/other existing credit,new car,2,guarantor,bank,1,bad
902,no checking,20,critical/other existing credit,new car,2,none,none,2,good
903,no checking,36,critical/other existing credit,used car,2,none,none,2,good
904,no checking,15,existing paid,radio/tv,4,none,none,1,good
905,no checking,24,existing paid,radio/tv,4,none,none,1,good
906,<0,12,existing paid,radio/tv,2,none,none,1,good
907,<0,21,existing paid,new car,2,co applicant,none,1,good
908,0<=X<200,36,existing paid,education,2,none,none,1,good
909,no checking,15,delayed previously,used car,1,none,none,2,good
910,0<=X<200,9,existing paid,new car,1,none,none,1,good
911,no checking,36,delayed previously,radio/tv,4,none,none,2,good
912,0<=X<200,24,critical/other existing credit,furniture/equipment,2,none,bank,1,bad
913,0<=X<200,30,existing paid,radio/tv,2,none,none,1,good
914,no checking,11,existing paid,business,1,none,none,1,good
915,<0,24,all paid,business,4,none,none,1,bad
916,0<=X<200,48,no credits/all paid,other,1,none,bank,1,bad
917,no checking,10,existing paid,used car,1,co applicant,none,1,good
918,<0,6,existing paid,new car,1,none,bank,1,bad
