applicant_id,credit_amount,age,sex,marital_status,previous_delay,job,employment,savings_status,housing,residence_since,property_magnitude,num_dependents,own_telephone,foreign_worker,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
174,1414,33,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,no,0<=X<200,8,existing paid,radio/tv,4,guarantor,none,1,good
175,3414,26,male,single,TRUE,skilled,<1,<100,own,1,life insurance,1,none,yes,<0,21,delayed previously,education,2,none,none,2,bad
176,7485,53,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,unemployed,no known savings,own,1,real estate,1,yes,yes,no checking,30,all paid,used car,4,none,bank,1,bad
177,2577,42,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,1,car,1,none,yes,<0,12,existing paid,furniture/equipment,2,none,none,1,good
178,338,52,male,single,TRUE,skilled,>=7,500<=X<1000,own,4,car,1,none,yes,<0,6,critical/other existing credit,radio/tv,4,none,none,2,good
179,1963,31,male,single,FALSE,high qualif/self emp/mgmt,4<=X<7,<100,rent,2,car,2,yes,yes,no checking,12,existing paid,radio/tv,4,none,none,2,good
180,571,65,male,single,TRUE,skilled,>=7,<100,own,4,real estate,1,none,yes,<0,21,critical/other existing credit,new car,4,none,none,2,good
181,9572,28,male,div/sep/mar/wid,TRUE,skilled,<1,<100,own,1,car,1,none,yes,no checking,36,delayed previously,business,1,none,none,2,bad
182,4455,30,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,1<=X<4,<100,own,2,real estate,1,yes,yes,0<=X<200,36,delayed previously,business,2,none,stores,2,bad
183,1647,40,male,single,FALSE,unskilled resident,1<=X<4,no known savings,own,2,life insurance,2,none,yes,<0,21,all paid,new car,4,none,none,2,bad
184,3777,50,male,single,TRUE,skilled,1<=X<4,>=1000,own,4,real estate,1,yes,yes,no checking,24,critical/other existing credit,furniture/equipment,4,none,none,1,good
185,884,36,male,single,TRUE,skilled,>=7,<100,own,4,car,2,yes,yes,0<=X<200,18,critical/other existing credit,new car,4,none,bank,1,bad
186,1360,31,male,single,TRUE,skilled,1<=X<4,<100,own,2,life insurance,1,none,yes,no checking,15,critical/other existing credit,radio/tv,4,none,none,2,good
187,5129,74,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,2,yes,yes,0<=X<200,9,all paid,used car,2,none,bank,1,bad
188,1175,68,male,single,TRUE,unemp/unskilled non res,unemployed,<100,for free,3,car,1,yes,yes,0<=X<200,16,critical/other existing credit,new car,2,none,none,3,good
189,674,20,male,div/sep/mar/wid,FALSE,skilled,4<=X<7,100<=X<500,own,1,life insurance,1,none,yes,<0,12,existing paid,radio/tv,4,none,none,1,bad
190,3244,33,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,4,car,1,yes,yes,0<=X<200,18,no credits/all paid,furniture/equipment,1,none,bank,2,good
191,4591,54,male,single,FALSE,high qualif/self emp/mgmt,1<=X<4,>=1000,own,3,life insurance,1,yes,yes,no checking,24,existing paid,business,2,none,none,3,bad
192,3844,34,male,single,FALSE,unskilled resident,4<=X<7,100<=X<500,for free,4,no known property,2,none,yes,0<=X<200,48,no credits/all paid,business,4,none,none,1,bad
193,3915,36,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,2,yes,yes,0<=X<200,27,existing paid,business,4,none,none,1,bad
194,2108,29,male,div/sep/mar/wid,FALSE,skilled,4<=X<7,<100,rent,2,real estate,1,none,yes,no checking,6,existing paid,radio/tv,2,none,none,1,good
195,3031,21,male,single,FALSE,skilled,1<=X<4,100<=X<500,rent,4,life insurance,1,none,yes,0<=X<200,45,existing paid,radio/tv,4,guarantor,none,1,bad
196,1501,34,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,>=7,<100,own,3,car,1,yes,yes,0<=X<200,9,critical/other existing credit,education,2,none,none,2,bad
197,1382,28,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,1,car,1,yes,yes,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
198,951,27,female,div/sep/mar/wid,FALSE,skilled,<1,100<=X<500,rent,4,car,1,none,yes,0<=X<200,12,existing paid,furniture/equipment,4,none,bank,4,bad
199,2760,36,male,single,FALSE,skilled,>=7,no known savings,for free,4,no known property,1,yes,yes,0<=X<200,24,existing paid,used car,4,none,bank,1,good
200,4297,40,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,>=7,<100,own,3,no known property,1,yes,yes,0<=X<200,18,delayed previously,furniture/equipment,4,none,none,1,bad
201,936,52,male,single,TRUE,skilled,>=7,500<=X<1000,own,2,car,1,yes,yes,no checking,9,critical/other existing credit,education,4,none,none,2,good
202,1168,27,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,3,real estate,1,none,yes,<0,12,existing paid,new car,4,none,none,1,good
203,5117,26,male,single,TRUE,skilled,4<=X<7,<100,own,4,car,1,none,yes,no checking,27,delayed previously,business,3,none,none,2,good
204,902,21,male,div/sep/mar/wid,FALSE,skilled,4<=X<7,<100,rent,4,life insurance,1,none,yes,<0,12,existing paid,retraining,4,none,none,1,bad
205,1495,38,male,single,TRUE,unskilled resident,>=7,<100,own,1,real estate,2,none,yes,no checking,12,critical/other existing credit,new car,4,none,none,2,good
206,10623,38,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,2,yes,yes,<0,30,critical/other existing credit,used car,3,none,none,3,good
207,1935,43,male,single,TRUE,skilled,>=7,<100,own,4,real estate,1,yes,yes,no checking,12,critical/other existing credit,furniture/equipment,4,none,none,3,good
208,1424,26,male,single,TRUE,skilled,4<=X<7,<100,own,3,life insurance,1,none,yes,0<=X<200,12,critical/other existing credit,domestic appliance,4,none,none,1,good
209,6568,21,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,2,car,1,none,yes,<0,24,existing paid,business,2,none,stores,1,good
210,1413,55,male,single,FALSE,skilled,4<=X<7,>=1000,own,2,life insurance,1,none,no,no checking,12,existing paid,used car,3,none,none,1,good
211,3074,33,male,single,TRUE,skilled,1<=X<4,no known savings,own,2,real estate,2,none,yes,no checking,9,critical/other existing credit,radio/tv,1,none,none,2,good
212,3835,45,female,div/sep/mar/wid,FALSE,unskilled resident,>=7,no known savings,own,4,real estate,1,yes,yes,no checking,36,existing paid,radio/tv,2,none,none,1,good
213,5293,50,male,single,FALSE,skilled,unemployed,<100,own,4,life insurance,1,yes,yes,<0,27,no credits/all paid,business,2,none,stores,2,bad
214,1908,66,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,own,4,real estate,1,yes,yes,>=200,30,delayed previously,business,4,none,none,1,bad
215,3342,51,male,single,TRUE,skilled,>=7,no known savings,own,2,car,1,yes,yes,no checking,36,critical/other existing credit,radio/tv,4,none,none,1,good
216,932,39,female,div/sep/mar/wid,TRUE,unskilled resident,4<=X<7,no known savings,own,3,life insurance,1,none,yes,0<=X<200,6,critical/other existing credit,retraining,1,none,none,2,good
217,3104,31,male,single,FALSE,skilled,4<=X<7,<100,own,1,life insurance,1,yes,yes,<0,18,no credits/all paid,business,3,none,bank,1,good
218,3913,23,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,yes,yes,>=200,36,existing paid,radio/tv,2,none,none,1,good
219,3021,24,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,rent,2,real estate,1,none,yes,<0,24,existing paid,furniture/equipment,2,none,none,1,good
220,1364,64,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,4,car,1,yes,yes,no checking,10,existing paid,new car,2,none,none,1,good
221,625,26,male,div/sep/mar/wid,FALSE,unskilled resident,<1,<100,own,1,real estate,1,none,yes,0<=X<200,12,existing paid,radio/tv,4,guarantor,bank,1,good
222,1200,23,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,no known savings,rent,4,life insurance,1,yes,yes,<0,12,existing paid,education,4,none,bank,1,good
223,707,30,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,no checking,12,existing paid,radio/tv,4,none,bank,2,good
224,2978,32,male,single,TRUE,skilled,1<=X<4,no known savings,own,4,real estate,2,yes,yes,no checking,24,delayed previously,business,4,none,none,2,good
225,4657,30,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,yes,yes,no checking,15,existing paid,used car,3,none,none,1,good
226,2613,27,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,no checking,36,no credits/all paid,repairs,4,none,none,2,good
227,10961,27,male,single,FALSE,skilled,4<=X<7,>=1000,own,2,no known property,1,yes,yes,0<=X<200,48,existing paid,radio/tv,1,co applicant,bank,2,bad
228,7865,53,male,single,FALSE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,1,yes,yes,<0,12,existing paid,furniture/equipment,4,none,none,1,bad
229,1478,22,male,single,FALSE,skilled,4<=X<7,<100,own,2,car,1,none,yes,no checking,9,existing paid,radio/tv,4,none,none,1,bad
230,3149,22,male,single,FALSE,skilled,<1,<100,for free,1,no known property,1,none,yes,<0,24,existing paid,furniture/equipment,4,none,bank,1,good
231,4210,26,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,>=200,36,existing paid,radio/tv,4,none,none,1,bad
232,2507,51,male,single,FALSE,unskilled resident,>=7,500<=X<1000,for free,4,no known property,1,none,yes,no checking,9,existing paid,new car,2,none,none,1,good
233,2141,35,male,single,FALSE,skilled,4<=X<7,100<=X<500,own,1,no known property,1,none,yes,no checking,12,existing paid,radio/tv,3,none,none,1,good
234,866,25,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,2,real estate,1,none,yes,0<=X<200,18,existing paid,radio/tv,4,guarantor,none,1,good
235,1544,42,male,single,TRUE,unskilled resident,4<=X<7,<100,own,1,real estate,2,none,yes,no checking,4,critical/other existing credit,radio/tv,2,none,none,3,good
236,1823,30,male,single,FALSE,high qualif/self emp/mgmt,unemployed,<100,own,2,car,2,none,yes,<0,24,existing paid,radio/tv,4,none,stores,1,bad
237,14555,23,male,single,FALSE,unemp/unskilled non res,unemployed,no known savings,own,2,life insurance,1,yes,yes,0<=X<200,6,existing paid,new car,1,none,none,1,bad
238,2767,61,male,div/sep/mar/wid,FALSE,unskilled resident,>=7,100<=X<500,rent,2,car,1,none,yes,0<=X<200,21,existing paid,business,4,none,bank,2,bad
239,1291,35,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,life insurance,1,none,yes,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
240,2522,39,male,single,FALSE,skilled,>=7,<100,own,3,life insurance,2,none,yes,<0,30,existing paid,radio/tv,1,guarantor,none,1,good
241,915,29,female,div/sep/mar/wid,FALSE,skilled,>=7,no known savings,own,2,car,1,none,yes,<0,24,existing paid,new car,4,none,bank,1,bad
242,1595,51,male,single,FALSE,skilled,4<=X<7,<100,own,2,life insurance,2,none,yes,no checking,6,existing paid,radio/tv,3,none,none,1,good
243,4605,24,male,single,FALSE,skilled,>=7,<100,for free,4,no known property,2,none,yes,<0,48,no credits/all paid,used car,3,none,none,2,bad
244,1185,27,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,no checking,12,critical/other existing credit,business,3,none,none,2,good
245,3447,35,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,500<=X<1000,own,3,real estate,2,none,yes,no checking,12,all paid,retraining,4,none,none,1,good
246,1258,25,male,single,FALSE,skilled,4<=X<7,<100,own,1,real estate,1,yes,yes,no checking,24,existing paid,business,4,none,none,1,good
247,717,52,male,single,TRUE,skilled,>=7,<100,own,4,real estate,1,none,yes,no checking,12,critical/other existing credit,radio/tv,4,none,none,3,good
248,1204,35,male,single,FALSE,skilled,1<=X<4,100<=X<500,rent,1,no known property,1,none,no,no checking,6,no credits/all paid,new car,4,none,bank,1,good
249,1925,26,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,>=200,24,existing paid,furniture/equipment,2,none,none,1,good
250,433,22,female,div/sep/mar/wid,FALSE,skilled,unemployed,<100,rent,4,real estate,1,none,yes,no checking,18,existing paid,radio/tv,3,co applicant,none,1,bad
251,666,39,female,div/sep/mar/wid,TRUE,unskilled resident,4<=X<7,>=1000,own,4,real estate,1,yes,yes,<0,6,critical/other existing credit,new car,3,none,none,2,good
252,2251,46,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,2,car,1,none,yes,>=200,12,existing paid,furniture/equipment,1,none,none,1,good
253,2150,24,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,2,no known property,1,none,yes,0<=X<200,30,existing paid,new car,4,guarantor,bank,1,bad
254,4151,35,male,single,TRUE,skilled,1<=X<4,100<=X<500,own,3,life insurance,1,none,yes,no checking,24,delayed previously,furniture/equipment,2,none,none,2,good
255,2030,24,male,single,FALSE,skilled,4<=X<7,no known savings,own,1,car,1,yes,yes,0<=X<200,9,existing paid,furniture/equipment,2,none,none,1,good
256,7418,27,male,single,TRUE,unskilled resident,1<=X<4,no known savings,own,1,real estate,1,none,yes,0<=X<200,60,delayed previously,radio/tv,1,none,none,1,good
257,2684,35,male,single,TRUE,unskilled resident,1<=X<4,<100,own,2,real estate,1,none,yes,no checking,24,critical/other existing credit,radio/tv,4,none,none,2,good
258,2149,29,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,for free,1,no known property,1,none,yes,<0,12,all paid,radio/tv,4,none,none,1,bad
259,3812,23,female,div/sep/mar/wid,FALSE,skilled,<1,100<=X<500,own,4,car,1,yes,yes,no checking,15,existing paid,used car,1,none,none,1,good
260,1154,57,female,div/sep/mar/wid,TRUE,unskilled resident,unemployed,100<=X<500,own,4,real estate,1,none,yes,no checking,11,critical/other existing credit,radio/tv,4,none,none,3,good
261,1657,27,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,<0,12,existing paid,furniture/equipment,2,none,none,1,good
262,1603,55,female,div/sep/mar/wid,FALSE,skilled,>=7,<100,own,4,car,1,none,yes,<0,24,existing paid,radio/tv,4,none,none,1,good
263,5302,36,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,1,yes,yes,<0,18,critical/other existing credit,new car,2,none,none,3,good
264,2748,57,female,div/sep/mar/wid,TRUE,unskilled resident,>=7,<100,for free,4,no known property,1,none,yes,no checking,12,critical/other existing credit,education,2,none,bank,3,good
265,1231,32,male,single,TRUE,unskilled resident,>=7,<100,own,4,real estate,2,none,no,no checking,10,critical/other existing credit,new car,3,none,none,2,good
266,802,37,male,single,FALSE,skilled,>=7,<100,own,3,car,2,none,yes,0<=X<200,15,existing paid,radio/tv,4,none,none,1,bad
267,6304,36,male,single,TRUE,skilled,>=7,no known savings,own,4,real estate,1,none,yes,no checking,36,critical/other existing credit,business,4,none,none,2,good
268,1533,38,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,3,car,1,yes,yes,no checking,24,existing paid,radio/tv,4,none,stores,1,good
269,8978,45,male,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,>=7,<100,own,4,life insurance,1,yes,no,<0,14,existing paid,new car,1,none,none,1,bad
270,999,25,male,single,FALSE,skilled,>=7,no known savings,own,2,car,1,none,yes,no checking,24,existing paid,radio/tv,4,none,none,2,good
271,2662,32,male,single,FALSE,skilled,4<=X<7,no known savings,own,3,life insurance,1,none,no,no checking,18,existing paid,new car,4,none,none,1,good
272,1402,37,female,div/sep/mar/wid,TRUE,skilled,4<=X<7,500<=X<1000,rent,4,car,1,yes,yes,no checking,12,critical/other existing credit,furniture/equipment,3,none,none,1,good
273,12169,36,male,single,FALSE,high qualif/self emp/mgmt,unemployed,no known savings,for free,4,no known property,1,yes,yes,0<=X<200,48,all paid,new car,4,co applicant,none,1,good
274,3060,28,male,single,FALSE,skilled,4<=X<7,<100,own,4,real estate,1,none,yes,0<=X<200,48,existing paid,radio/tv,4,none,none,2,bad
275,11998,34,male,div/sep/mar/wid,FALSE,unskilled resident,<1,<100,own,1,no known property,1,yes,yes,<0,30,existing paid,repairs,1,none,none,1,bad
276,2697,32,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,2,none,yes,no checking,9,existing paid,radio/tv,1,none,none,1,good
277,2404,26,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,car,1,none,yes,no checking,18,critical/other existing credit,radio/tv,2,none,none,2,good
278,1262,49,male,div/sep/mar/wid,FALSE,unskilled resident,>=7,no known savings,own,4,life insurance,1,yes,yes,<0,12,existing paid,furniture/equipment,2,none,none,1,good
279,4611,32,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,4,life insurance,1,none,yes,no checking,6,existing paid,furniture/equipment,1,none,none,1,bad
280,1901,29,male,single,FALSE,high qualif/self emp/mgmt,1<=X<4,100<=X<500,rent,4,car,1,yes,yes,no checking,24,existing paid,radio/tv,4,none,none,1,good
281,3368,23,male,single,TRUE,skilled,>=7,>=1000,rent,4,no known property,1,yes,yes,no checking,15,critical/other existing credit,used car,3,none,none,2,good
282,1574,50,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,no checking,12,existing paid,furniture/equipment,4,none,none,1,good
283,1445,49,male,single,FALSE,unskilled resident,4<=X<7,no known savings,own,4,car,1,none,yes,>=200,18,all paid,radio/tv,4,none,bank,1,good
284,1520,63,male,single,TRUE,skilled,>=7,no known savings,own,4,life insurance,1,none,yes,no checking,15,critical/other existing credit,furniture/equipment,4,none,none,1,good
285,3878,37,male,div/sep/mar/wid,TRUE,skilled,<1,100<=X<500,own,2,car,1,yes,yes,0<=X<200,24,critical/other existing credit,new car,4,none,none,1,good
286,10722,35,female,div/sep/mar/wid,FALSE,unskilled resident,<1,<100,own,1,real estate,1,yes,yes,<0,47,existing paid,new car,1,none,none,1,good
287,4788,26,male,single,FALSE,skilled,4<=X<7,<100,own,3,life insurance,2,none,yes,<0,48,existing paid,used car,4,none,none,1,good
288,7582,31,male,single,TRUE,high qualif/self emp/mgmt,unemployed,100<=X<500,for free,4,no known property,1,yes,yes,0<=X<200,48,delayed previously,other,2,none,none,1,good
289,1092,49,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,4,real estate,1,yes,yes,0<=X<200,12,existing paid,radio/tv,4,guarantor,none,2,good
290,1024,48,male,div/sep/mar/wid,TRUE,skilled,<1,<100,own,4,real estate,1,none,yes,<0,24,delayed previously,radio/tv,4,none,stores,1,bad
291,1076,26,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,yes,no,no checking,12,existing paid,business,2,none,none,1,good
292,9398,28,male,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,<1,<100,rent,4,car,1,yes,yes,0<=X<200,36,existing paid,used car,1,none,none,1,bad
293,6419,44,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,2,yes,yes,<0,24,critical/other existing credit,used car,2,none,none,2,good
294,4796,56,male,single,TRUE,skilled,>=7,<100,for free,4,no known property,1,none,yes,>=200,42,critical/other existing credit,used car,4,none,none,1,good
295,7629,46,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,>=7,no known savings,own,2,car,2,none,yes,no checking,48,critical/other existing credit,business,4,none,bank,2,good
296,9960,26,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,2,car,1,yes,yes,0<=X<200,48,existing paid,furniture/equipment,1,none,none,1,bad
297,4675,20,female,div/sep/mar/wid,FALSE,skilled,<1,no known savings,rent,4,car,1,none,yes,no checking,12,existing paid,used car,1,none,none,1,good
298,1287,45,male,single,FALSE,unskilled resident,>=7,no known savings,own,2,life insurance,1,none,no,no checking,10,existing paid,new car,4,co applicant,none,1,good
299,2515,43,male,single,FALSE,skilled,1<=X<4,<100,own,4,real estate,1,yes,yes,no checking,18,existing paid,furniture/equipment,3,none,none,1,good
300,2745,32,male,single,TRUE,skilled,4<=X<7,>=1000,own,2,car,1,yes,yes,0<=X<200,21,critical/other existing credit,furniture/equipment,3,none,none,2,good
301,672,54,female,div/sep/mar/wid,FALSE,unemp/unskilled non res,unemployed,<100,own,4,real estate,1,yes,yes,no checking,6,existing paid,new car,1,none,none,1,good
302,3804,42,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,1,car,1,yes,yes,0<=X<200,36,no credits/all paid,radio/tv,4,none,none,1,bad
303,1344,37,male,single,TRUE,unskilled resident,4<=X<7,no known savings,own,2,real estate,2,none,yes,>=200,24,critical/other existing credit,new car,4,none,bank,2,bad
304,1038,49,male,single,TRUE,skilled,4<=X<7,<100,own,3,life insurance,1,yes,yes,<0,10,critical/other existing credit,new car,4,co applicant,none,2,good
305,10127,44,male,single,TRUE,skilled,1<=X<4,500<=X<1000,for free,2,no known property,1,none,yes,no checking,48,critical/other existing credit,new car,2,none,bank,1,bad
306,1543,33,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,>=1000,own,2,real estate,1,none,yes,no checking,6,existing paid,furniture/equipment,4,none,none,1,good
307,4811,24,female,div/sep/mar/wid,FALSE,unskilled resident,4<=X<7,no known savings,rent,4,life insurance,1,none,yes,no checking,30,existing paid,used car,2,none,stores,1,good
308,727,33,male,div/sep/mar/wid,FALSE,unskilled resident,<1,100<=X<500,own,3,no known property,1,yes,yes,<0,12,existing paid,radio/tv,4,none,none,1,bad
309,1237,24,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,4,real estate,1,none,yes,0<=X<200,8,existing paid,furniture/equipment,3,none,none,1,bad
310,276,22,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,rent,4,real estate,1,none,yes,0<=X<200,9,existing paid,new car,4,none,none,1,good
311,5381,40,male,single,FALSE,unemp/unskilled non res,unemployed,no known savings,for free,4,no known property,1,yes,yes,0<=X<200,48,existing paid,other,3,none,bank,1,good
312,5511,25,male,single,FALSE,skilled,1<=X<4,100<=X<500,own,1,car,1,none,yes,no checking,24,existing paid,furniture/equipment,4,none,stores,1,good
313,3749,26,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,4,car,1,none,yes,>=200,24,existing paid,furniture/equipment,2,none,none,1,good
314,685,25,male,div/sep/mar/wid,FALSE,unskilled resident,4<=X<7,<100,own,3,car,1,none,yes,0<=X<200,12,existing paid,new car,2,none,bank,1,bad
315,1494,29,male,single,FALSE,unskilled resident,<1,no known savings,own,2,real estate,2,none,no,>=200,4,existing paid,new car,1,none,none,1,good
316,2746,31,male,single,FALSE,skilled,>=7,<100,own,4,car,1,none,yes,<0,36,all paid,furniture/equipment,4,none,bank,1,bad
317,708,38,male,single,FALSE,unskilled resident,1<=X<4,<100,own,3,life insurance,2,none,yes,<0,12,existing paid,furniture/equipment,2,guarantor,none,1,good
318,4351,48,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,no known savings,own,4,life insurance,1,yes,yes,0<=X<200,24,existing paid,furniture/equipment,1,none,none,1,good
319,701,32,male,single,TRUE,skilled,1<=X<4,<100,own,2,car,1,none,yes,no checking,12,critical/other existing credit,education,4,none,none,2,good
320,3643,27,female,div/sep/mar/wid,TRUE,unskilled resident,>=7,<100,own,4,life insurance,1,none,yes,<0,15,delayed previously,furniture/equipment,1,none,none,2,good
321,4249,28,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,unemployed,<100,own,2,car,1,none,yes,0<=X<200,30,critical/other existing credit,new car,4,none,none,2,bad
322,1938,32,male,div/sep/mar/wid,FALSE,skilled,<1,<100,own,3,life insurance,1,none,yes,<0,24,existing paid,radio/tv,4,none,none,1,bad
323,2910,34,male,single,FALSE,high qualif/self emp/mgmt,4<=X<7,<100,for free,1,no known property,1,yes,yes,<0,24,existing paid,used car,2,none,none,1,good
324,2659,28,male,single,FALSE,skilled,1<=X<4,>=1000,own,2,car,1,none,yes,<0,18,existing paid,furniture/equipment,4,none,none,1,good
325,1028,36,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,3,real estate,1,none,yes,no checking,18,critical/other existing credit,new car,4,none,none,2,good
326,3398,39,male,single,TRUE,unskilled resident,4<=X<7,<100,own,4,real estate,1,none,no,<0,8,critical/other existing credit,new car,1,none,none,2,good
327,5801,49,male,single,TRUE,skilled,>=7,no known savings,rent,4,life insurance,1,yes,yes,no checking,12,critical/other existing credit,furniture/equipment,2,none,none,1,good
328,1525,34,female,div/sep/mar/wid,FALSE,skilled,4<=X<7,>=1000,own,3,car,2,yes,yes,no checking,24,existing paid,new car,4,none,none,1,good
329,4473,31,male,single,FALSE,skilled,>=7,<100,own,2,car,1,none,yes,>=200,36,existing paid,radio/tv,4,none,none,1,good
330,1068,28,male,single,FALSE,skilled,>=7,<100,own,4,car,2,none,yes,0<=X<200,6,existing paid,radio/tv,4,none,none,1,good
331,6615,75,male,single,TRUE,high qualif/self emp/mgmt,unemployed,<100,for free,4,no known property,1,yes,yes,<0,24,critical/other existing credit,used car,2,none,none,2,good
332,1864,30,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,100<=X<500,own,2,real estate,1,none,yes,no checking,18,critical/other existing credit,education,4,none,none,2,bad
333,7408,24,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,<1,100<=X<500,own,2,life insurance,1,none,yes,0<=X<200,60,existing paid,new car,4,none,none,1,bad
334,11590,24,female,div/sep/mar/wid,TRUE,unskilled resident,1<=X<4,100<=X<500,rent,4,car,1,none,yes,no checking,48,critical/other existing credit,used car,2,none,bank,2,bad
335,4110,23,male,single,FALSE,skilled,>=7,<100,rent,4,no known property,2,none,yes,<0,24,no credits/all paid,furniture/equipment,3,none,bank,2,bad
336,3384,44,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,1<=X<4,<100,rent,4,real estate,1,yes,yes,<0,6,critical/other existing credit,furniture/equipment,1,none,none,1,bad
337,2101,23,female,div/sep/mar/wid,FALSE,unskilled resident,<1,<100,own,4,life insurance,1,none,yes,0<=X<200,13,existing paid,radio/tv,2,guarantor,none,1,good
338,1275,24,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,no known savings,rent,2,car,1,none,yes,<0,15,existing paid,domestic appliance,4,none,none,1,bad
339,4169,28,male,single,FALSE,skilled,1<=X<4,<100,own,4,life insurance,1,none,yes,<0,24,existing paid,furniture/equipment,4,none,none,1,good
340,1521,31,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,2,car,1,none,yes,0<=X<200,10,existing paid,furniture/equipment,4,none,none,1,good
341,5743,24,female,div/sep/mar/wid,TRUE,skilled,<1,<100,for free,4,no known property,1,yes,yes,0<=X<200,24,critical/other existing credit,education,2,none,none,2,good
342,3599,26,female,div/sep/mar/wid,FALSE,unskilled resident,4<=X<7,<100,rent,4,car,1,none,yes,<0,21,existing paid,furniture/equipment,1,none,none,1,good
343,3213,25,male,div/sep/mar/wid,FALSE,skilled,<1,500<=X<1000,rent,3,real estate,1,none,yes,0<=X<200,18,existing paid,radio/tv,1,none,none,1,good
344,4439,33,male,single,FALSE,high qualif/self emp/mgmt,>=7,<100,own,1,real estate,1,yes,yes,0<=X<200,18,existing paid,business,1,co applicant,bank,1,good
345,3949,37,male,single,FALSE,unskilled resident,<1,<100,own,1,life insurance,2,none,yes,>=200,10,existing paid,new car,1,guarantor,none,1,good
346,1459,43,female,div/sep/mar/wid,TRUE,unskilled resident,1<=X<4,<100,own,2,car,1,none,yes,no checking,15,critical/other existing credit,radio/tv,4,none,none,1,good
347,882,23,male,single,TRUE,skilled,<1,<100,own,4,real estate,1,none,yes,0<=X<200,13,critical/other existing credit,radio/tv,4,guarantor,none,2,good
